Generations 1950
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 9.3300
Fitness 0.970443
Sigma 0.008712
Points 200

Points (x,y,z):
0.376792 -0.721587 -0.515142
-0.844363 -0.042171 -0.348749
-0.514575 0.348612 0.727953
-0.553800 0.669543 -0.412600
-0.458877 -0.704013 0.441904
0.384818 0.737522 0.530974
0.392280 -0.690451 -0.585884
0.249215 -0.746209 0.467171
0.588740 -0.218318 0.761444
-0.791291 -0.126912 0.578855
0.617990 0.590299 0.467149
0.390094 -0.795839 0.417996
0.023755 -0.695971 -0.675304
-0.259303 0.918560 0.186483
0.460066 -0.629442 0.550480
0.574518 0.669201 -0.353432
-0.961129 0.096488 0.247867
0.333719 -0.315538 -0.852028
0.628714 -0.623360 -0.400431
-0.735526 -0.017116 -0.655086
0.381245 -0.648091 -0.542290
-0.860904 0.158543 0.535921
0.347922 -0.844344 -0.316956
0.529268 -0.645135 0.558572
0.806306 -0.323803 0.398564
0.510133 -0.564092 -0.643886
0.624635 -0.694893 0.091148
-0.778088 0.023110 -0.425955
-0.689153 -0.037618 0.634298
0.405713 -0.536485 0.591662
-0.130787 -0.270930 0.949970
0.375757 -0.023808 0.884948
-0.267500 0.832424 -0.313059
-0.111387 -0.539366 0.835933
0.388681 -0.117130 -0.827322
0.816648 0.092024 -0.454844
-0.602583 0.667933 0.291675
-0.013054 -0.931473 -0.210524
0.258250 0.553495 0.788357
0.450036 -0.345227 -0.824424
-0.119540 0.773067 0.410838
0.589247 0.721779 0.222841
0.349471 -0.882522 -0.262293
-0.452189 0.256725 0.716939
0.036952 -0.007340 -0.963937
0.854929 -0.080510 -0.384533
-0.110163 -0.764697 -0.480856
0.804141 -0.000226 0.398827
0.744584 -0.601902 0.291976
0.808440 0.070205 -0.428476
-0.207749 0.614898 -0.714748
0.933110 -0.276970 -0.115206
0.600477 0.648069 0.187960
0.472607 -0.578858 -0.484407
0.662130 0.558544 0.425014
0.848913 -0.365956 0.288458
-0.850327 -0.414862 0.304504
0.491634 0.673688 0.435190
-0.100425 0.955753 0.178954
0.831023 0.213039 0.466664
-0.281724 -0.907429 -0.258958
0.132570 -0.306762 0.435044
0.439008 -0.175575 0.827656
-0.507640 -0.486990 -0.544803
0.629775 -0.427659 -0.643955
0.313116 0.758229 -0.502977
-0.759706 -0.146829 -0.645920
0.854630 -0.315894 -0.028949
0.394798 0.776266 -0.216220
-0.817108 0.050892 -0.589810
-0.173154 0.855265 0.490731
-0.404793 0.527566 -0.568410
0.332048 0.766916 0.266254
-0.550284 0.053405 -0.743907
0.301282 -0.679168 -0.663884
0.408487 0.745934 0.312752
0.352886 0.517051 0.679255
-0.461486 0.159164 0.736185
-0.000852 0.617831 0.655016
0.006078 0.925959 -0.248593
0.504645 -0.843250 -0.251560
0.534634 0.806244 -0.239869
0.152679 -0.820146 -0.468539
0.027533 0.368983 0.865391
0.540984 0.422925 -0.641336
0.014132 0.670810 0.721452
0.384456 0.615748 -0.506202
-0.770911 -0.589568 0.125492
0.283153 0.004970 -0.897266
0.497185 -0.078454 0.834914
0.829180 0.033909 -0.494475
0.140979 0.405515 0.892314
0.553070 0.375000 -0.736720
-0.872603 0.237962 0.154208
0.449799 -0.111293 0.768077
0.604943 -0.639788 0.402487
-0.473189 0.705919 0.479494
-0.310324 0.835313 0.206810
-0.198079 -0.738926 -0.635046
0.707210 -0.698865 -0.097253
-0.753950 -0.537298 0.186091
-0.347229 0.025312 -0.894178
0.870863 0.326989 0.325608
0.465723 0.617323 0.623913
-0.442478 0.160062 0.851718
-0.461951 -0.823456 -0.326887
-0.097019 -0.642312 -0.700119
-0.679185 0.362379 0.607017
0.136846 -0.824148 -0.457447
0.860315 0.027416 -0.460922
-0.397535 -0.901263 0.224183
-0.721401 -0.555986 -0.403230
0.707385 -0.661111 -0.078981
0.482990 -0.022828 -0.820498
-0.473288 0.531139 -0.638918
0.645511 0.651655 -0.261314
0.761918 0.461604 -0.202470
0.342974 0.636067 0.638015
-0.795528 -0.384866 -0.468731
-0.761283 0.059447 -0.592781
0.692961 -0.533194 0.294556
-0.831030 0.250936 -0.452775
-0.235374 0.812148 0.290542
0.484117 -0.719322 -0.522208
0.308351 -0.727129 0.464651
-0.377876 -0.200417 -0.909318
-0.110511 0.168952 0.950858
0.192634 -0.927942 0.066135
0.592352 -0.526584 -0.555622
-0.985748 0.082042 0.231060
-0.596650 -0.717692 -0.330825
-0.347090 0.649526 -0.603810
-0.790894 0.043682 -0.614723
-0.616588 -0.687500 -0.213980
-0.513271 0.715044 -0.341659
-0.257698 -0.594284 -0.613632
0.024532 -0.669296 -0.681284
0.359964 -0.772201 -0.180166
-0.056544 -0.899808 -0.253547
0.561058 0.691286 -0.356332
-0.170260 -0.920418 0.341250
0.600420 0.551794 0.512159
-0.346973 0.196377 0.826014
-0.000205 -0.913686 -0.228135
-0.243162 0.960632 0.053889
-0.354756 0.569776 -0.642201
0.269525 0.873734 0.276069
-0.568344 -0.659402 0.374216
-0.680767 0.280123 -0.616938
-0.191683 0.893472 0.128088
-0.788289 0.154069 -0.446530
-0.003895 -0.788441 -0.536562
0.403736 0.431445 -0.808866
-0.834923 0.112226 -0.529415
-0.393409 0.160017 0.891446
-0.525267 0.629984 0.510931
0.206027 -0.843615 0.496817
0.424194 0.828142 -0.082669
0.694159 0.680628 -0.170547
-0.173264 0.267349 -0.387604
-0.494909 0.713818 0.410253
0.592949 0.601131 0.463849
-0.922227 -0.349414 0.233561
0.552869 0.717656 0.284092
0.190224 -0.174625 0.890281
0.350062 -0.875357 -0.348262
-0.244204 0.783083 -0.529773
-0.982559 0.049518 0.262130
0.934220 0.315794 0.105369
-0.730489 -0.422411 -0.436104
-0.465433 -0.596675 -0.507060
-0.493238 0.665563 0.537891
0.283846 0.384123 -0.872781
0.789636 -0.315634 0.492259
-0.625333 -0.616853 0.250229
-0.432719 0.620737 0.479329
-0.264891 -0.961820 -0.168108
0.524068 0.780442 -0.292194
0.437459 -0.578065 0.642888
0.601908 0.670568 -0.234823
0.016522 -0.827296 0.417585
-0.732773 0.609482 0.230786
0.480161 -0.698151 -0.433049
-0.420212 0.452679 0.241420
0.465898 -0.091160 0.833731
0.335301 0.471268 -0.760085
0.780462 -0.136535 0.532390
-0.487125 -0.730814 -0.360737
-0.444211 -0.717949 -0.508284
0.713576 -0.316083 0.424537
-0.427536 0.796657 0.272211
-0.734998 -0.463741 -0.360785
0.919632 -0.126383 -0.284750
-0.818326 -0.573377 0.091678
-0.436050 -0.877277 -0.069228
-0.029100 -0.680045 -0.605470
0.389349 -0.008249 -0.902241
-0.347143 0.729762 -0.503185
-0.601502 -0.557992 0.408133
-0.821084 -0.228788 0.530155
