test_number,evaluation_time_seconds,cores_used
1,0.288168,23
2,0.334769,23
3,0.317076,23
4,0.308111,23
5,0.303476,23
6,0.313471,23
7,0.318350,23
8,0.311671,23
9,0.309720,23
10,0.306478,23
11,0.312172,23
12,0.307609,23
13,0.325322,23
14,0.308747,23
15,0.326539,23
16,0.323073,23
17,0.313761,23
18,0.309854,23
19,0.311081,23
20,0.306362,23
21,0.306043,23
22,0.312373,23
23,0.320839,23
24,0.307379,23
25,0.327071,23
26,0.300406,23
27,0.306806,23
28,0.317248,23
29,0.311174,23
30,0.313343,23
31,0.304525,23
32,0.310075,23
33,0.308430,23
34,0.314900,23
35,0.323764,23
36,0.317455,23
37,0.309505,23
38,0.303023,23
39,0.315087,23
40,0.308111,23
41,0.310452,23
42,0.310048,23
43,0.319450,23
44,0.310118,23
45,0.312194,23
46,0.321682,23
47,0.324378,23
48,0.310317,23
49,0.312088,23
50,0.315283,23
51,0.305843,23
52,0.319510,23
53,0.309684,23
54,0.304987,23
55,0.308817,23
56,0.318220,23
57,0.308232,23
58,0.306708,23
59,0.306297,23
60,0.306936,23
61,0.306004,23
62,0.313038,23
63,0.314004,23
64,0.305549,23
65,0.320923,23
66,0.314802,23
67,0.319503,23
68,0.310743,23
69,0.328959,23
70,0.311038,23
71,0.304137,23
72,0.311709,23
73,0.317355,23
74,0.325198,23
75,0.310602,23
76,0.309250,23
77,0.309777,23
78,0.308677,23
79,0.306793,23
80,0.312525,23
81,0.310277,23
82,0.316083,23
83,0.315587,23
84,0.313882,23
85,0.303720,23
86,0.316638,23
87,0.316090,23
88,0.316323,23
89,0.299679,23
90,0.325692,23
91,0.310273,23
92,0.316786,23
93,0.307423,23
94,0.307709,23
95,0.306999,23
96,0.306814,23
97,0.310750,23
98,0.323833,23
99,0.311487,23
100,0.312791,23
